,source,targets,Score
0,"Due Thank You note by Egyptian blogger Abdel Monem Mahmoud: Following his release from prison, he wrote his first blog titled “Ana ikhwan… I am free”.",بلاگر مصری عبدل منعم محمود (عربی) پس از آزاد شدنش از زندان تیتر اولین مطلب خود را «من آزاد هستم» (عربی) انتخاب کرد.,3.0
1,He was extremely surprised and happy to receive a huge number of congratulations messages.,وی همچنین از دریافت تعداد بسیار زیادی پیام تبریک اظهار شادمانی و تعجب کرد.,3.0
2,Monem blogs under the name of “Ana Ikwan”.,منعم به دلیل اتهامات سیاسی ۴۵ روز در زندان بود.,0.0
3,"On December 16, 2006, the Supreme Administrative Council of Egypt ruled that the government may not recognize the Bahá'í Faith in official identification numbers (ID documents).",در ۱۶ دسامبر ۲۰۰۶ شورای عالی اداری مصر که دولت مصر نباید دین بهاییت را در مدارک رسمی به رسمیت به شناسد.,2.0
4,Finally a call to Renew old Friendships: Tarek of gr33ndata blog calls on continuing to socialize electronically and enjoy your friends and abandon all those conspiracy theory of organizations trying to spy on you.,رانندگان مترو برای اعتراض به زخمی شدن یکی از همکارانشان دست به اعتصاب زدند.,0.0
5,"Tarek thinks it is really fun to find friends over the internet and renew old friendships using Facebook, Flicker and blogging technologies!",در چند سال گذشته شنیدن خبر اعتصاب در هر موردی بسیار نادر بود و تقریبا وجود نداشت.,0.0
6,GV Author Luis Carlos Díaz continues his on-the-ground coverage of the post-RCTV closure and adds another Flickr photoset.,لوئیس کارلوس دیاس نویسنده ونزوئلایی صداهای جهانی مجموعه عکس هایی از تظاهرات مردم ونزوئلا علیه بسته شدن تلویزیون «آر سی تی» وی در فلیکر منتشر کرده است,1.0
7,Israeli Desert Peace draws attention to the plight of Palestinian children in this post.,آنها در حال کار و تلاش هستند تا پول اندکی برای خریدن غذا بدست آورند.,0.0
8,"Moroccan authorities just jailed 72-year-old activist Mohamed Bougrine for supporting prisoners who had been jailed for ""attacking values in the Islamic kingdom"", according to this Middle East Online article.",مقامات مراکشی، محمد بوگرین یکی از فعالان حقوق بشر را در سن ۷۲ سالگی به زندان انداختند.,1.0
9,“Iran is planning massive investments into the economies of Georgia and Armenia.,ایران در حال برنامه ریزی برای سرمایه گذاری عظیم در ارمنستان و گرجستان است.,4.0
10,We’re talkingof 1 billion dollars for Tbilissi and a analogous offer to Yerevan.,این سرمایه گذاری در حدود یک میلیارد دلار در هر کدام از این دو کشور خواهد بود.,1.0
11,"For your consideration: the total amount of Russian investments in Georgia in 2006 did not exceed 30 million dollars, as to Armenia, after arrangements made by Vladimir Putin will total to 1,5 billion dollars.",کل سرمایه گذاری روسیه در گرجستان در سال گذشته حدود ۳۰ میلیون دلار و در ارمنستان این سرمایه گذاری در حدود یک میلیارد و ۵۰۰ میلیون دلار بوده است.,1.0
12,Yerevan is a small city of 1 million people; there are dime a dozen of such cities around the world.,یروان پایتخت آن فقط یک میلیون نفر جمعیت دارد.,1.0
13,"In the meantime, money I suppose will keep pouring in from foreign remittances but it won’t circulate here.",کمبود دلار در بازار ارمنستان نشانگر این است که وضعیت اقتصادی این کشور در جایی دچار مشکلی جدی است.,0.0
14,Not all Armenian bloggers are pessimistic however.,البته تمامی بلاگرها در مورد اقتصاد ارمنستان بدبین نیستند,4.0
15,"Levon who has just arrived in Armenia after a couple of years of absence, is deeply impressed upon arrival with rapid changes at the aiport as well as in the center of capital Yerevan.",لون (انگلیسی) که پس از چند سال دوری از وطن به ارمنستان برگشته از تغییراتی که در فرودگاه و مرکز یروان اتفاق افتاده شگفت زده شده است.,4.0
16,Tim's El Salvador Blog links to YouTube videos of recent protests and police actions.,تظاهرات بر علیه طرح خصوصی سازی آب در این کشور برگزار شده است.,0.0
17,I started my blog back in 2003 in Kabul.,۱- لطفآ خود ووبلاگ خود را معرفی نمایید.,0.0
18,"At present, I have a new blog that can be found here: http://www.kabul.tchatcheblog.com/.",kabul. tchatcheblog. com/ این نشانی دارم:,1.0
19,The blog of the Tunisian journalist and blogger Slim Boukhdhir has been hacked and deleted.,بلاگ سلیم بوخدهیر خبرنگار و بلاگر تونسی (انگلیسی) هک شد و از بین رفت.,4.0
20,"Last weeks, the website of the Progressive Democratic Party (a legal opposition political party) has been hacked for several times.",سایت حزب دمکراتیک که حزبی قانون و مخالف دولت فعلی تونس است نیز تاکنون چند بار هک شده است.,3.0
21,Desert Peace from Israel says the people of Gaza are rising against the closure of borders with Egypt.,به گزارش (انگلیسی) بلاگر اسرائیلی پیس دزرت، هزاران فلسطینی بر علیه بسته شدن مرز بین مصر و نوار غزه دست به تظاهرات زدند.,3.0
22,Trivial Matters has a wonderful photo-post on Cambodia and food.,تراول مترز بلاگر هندی عکس هایی از سفر خود به کامبوج منتشر کرده است,1.0
23,Saudi Rasha writes about how the religious establishment is waging a war on liberals.,شیخ صالح الفوزان از لیبرالها خواسته توبه کنند و مبدل به مسلمانهای واقعی شوند,0.0
24,"Cry Beloved Zimbabwe: ""5000 business executives and store managers have been arrested in Zimbabwe since Mugabe started his crackdown on business accusing them of hiking the prices of basic commodities in order to topple his government.""",در بلاگ «گریه کن زیمبابوه محبوب من» میخوانیم (انگلیسی) که دولت موگابه در زیمبابوه پنج هزار کاسب و مغازه دار را به جرم افزایش قیمت و ایجاد تورم دستگیر کرده است,2.0
25,"After spending a month there, however, my opinions have radically changed.""",""" پس از اقامت یک ماهه در این کشور نظرم عوض شد.",2.0
26,This has not been the case for a number of reasons.,فقر و بی سواد بودن تعداد زیادی از مردم کنیا عامل بی اثر بودن فعالیتهای حزبی است.,0.0
27,"As GV is a virtual organization, the Video Editor will not be expected to relocate. Regular access to high-speed internet connectivity will, however, be a key factor in being able to carry out this job.",سازمان صداهای جهانی نهادی مجازی است و برای کار کردن در این سازمان احتیاج به تغییر مکان نیست ولی دسترسی به اینترنت با سرعت از نیازهای اساسی برای انجام وظایف مربوط به این شغل است.,3.0
28,THE REQUIREMENTS: Our ideal candidate has an international outlook and solid experience in blogging and online citizens' media with a special emphasis on online video.,سردبیر بخش ویدیو باید تجربه در سطح بین المللی در زمینه بلاگ نویسی و و یدیوی آن لاین داشته باشد.,2.0
29,"Solid English-language writing editing skills are a must, but a strong familiarity with the current tools, web sites and trends in online video worldwide is important. S/he has the ability to work independently and responsibly with only remote supervision.",تسلط به زبان انگلیسی و فن آوری مربوط به اینترنت از دیگر مشخصات لازم برای کاندیداهای این مسئولیت است.,1.0
30,"Ideally, s/he will have the ability to read and write well in at least one language other than English and have a working knowledge of other languages.",به جز زبان انگلیسی کاندیدا باید به یک زبان دیگر تسلط داشته باشد.,2.0
31,"The application deadline is Friday August 24, 2007.",۲۴ اوت آخرین فرصت برای درخواست این کار است.,4.0
32,"Fuel crisis in Zimbabwe deepens: ""Thousands of Zimbabwean commuters were on Tuesday stranded throughout the country as fuel shortages reached crisis proportions.""",دزیمبا (انگلیسی) می گوید که کمبود بنزین باعث شده هزاران نفر در زیمبابوه سرگردان شده و چهار روز تمام در انتظار اتوبوس باشند تا بتوانند به شهر و روستای خود بازگردند,1.0
33,Reconstruction in Afghanistan's volatile areas is much more expensive and unproductive than elsewhere.,سفرنگ بلاگر افغان با کسانی که معتقدند سرمایه گذاری در نقاط نا آرام افغانستان اتلاف وقت و سرمایه است موافق است.,1.0
34,Around 1000 people visit daily.,لطفا خود و وبلاگتان را معرفی کنید,0.0
35,Q: Would you introduce yourself and your blog ?,مهدی محسنی، متولد سال ۱۳۵۷ در شهر قم و فارغ التحصیل در رشته مهندسی عمران.,0.0
36,My name is Mehdi Mohseni and I was born in 1979 in Qom.,و به نوعی شاید بنوان گفت روزنامه نگار مستقل.,0.0
37,I published my first blog in 2002.,ابتدا در پرشین بلاگ و پس از آن در بلاگفا و هم اکنون با دومین اورگ و آی ار در محیط موبل تایپ.,0.0
38,Q:You are based in South-West Iran.,شاید یکی از دلایل رشد سریع وبلاگ نویسی هم همین مزیت باشد.,0.0
39,Q: What is the main problem of Iranian bloggers besides filtering?,به عنوان مثلا در دو سال اخیر موج گسترده فیلتر نمودن وبلاگ نویسهای زن آغاز شده است.,0.0
40,"Bloggers, like others, faces several difficulties in Iran.",و بیشترین خبرها در مورد هک شدن وب سایتهای نهادها و سازمانهای دولتی بوده است.,0.0
41,Especially many blogs by women were filtered.,وبلاگ توانسته وسیلهی خوبی باشد.,0.0
42,Political sites and blogs written by reformists and nationalist-religious people are targeted too.,البه این برداشتهای من به عنوان یک وبلاگ نویس در حوزهی سیاست و اجتماع است.,0.0
43,Hacking has not really been a problem for bloggers.,آیا فرق زیادی بین موضوعات بلاگهای ایرانی داخل کشور و خارج وجود دارد؟,0.0
44,This may be the reason so many women and girls are blogging.,گرچه ممکن است زاویه دید وبلاگ نویسها بسیار متفاوت باش,0.0
45,"The website, Monaco Politic Circus, which was meant to imitate the famous French satirical political weekly newspaper Charlie Hebdo, has been suspended.",وی در سایت موناکو پالیتیک سیرکس یا سایت سیرک سیاسی موناکو رهبر این کشور را به تمسخر گرفته است,0.0
46,Of course it is a blog and a photoblog at the same time.,و البته شباهت عکاسی با شکار و تیراندازی!,0.0
47,What is the added value of a weblog for journalists?,برای یک روزنامه نگار مثل شما وبلاگ چه ارزش اضافی دارد؟,4.0
48,It will be great if the world listens to the voice of bloggers.,واقعیت این است که خوب است که دنیا صدای وبلاگها را بشوند!,2.0
49,Joshua Kucera was one of 500 journalists who covered the SCO summit in Kyrgyzstan's capital Bishkek.,جاشوا کوسرا یکی از پانصد خبرنگاری است که اخیرا اجلاس شانگهای در قرقیزستان را گزارش کرده است.,4.0
50,Is that merely satirical? Sanjar thinks there's a lot of truth in the allegations.,شش نظامی ایتالیایی قرار است در ایتالیا به همین دلیل محاکمه شوند,0.0
51,"Lebanese pop star Nancy Ajram was 'terrorised' by an Israeli journalist in Jordan, notes Naseem Tarawnah.",نانسی اجرم خواننده معروف لبنانی در یک کنفرانس مطبوعاتی در اردن از حضور یک خبرنگار اسرائیلی شوکه شد.,2.0
52,"The Committee to Protect Bloggers (CPB) “the first organization devoted to the free speech and personal liberty of bloggers worldwide, has come back after a 1+ year hiatus, with a tighter focus.",کمیته دفاع از بلاگرها پس از یک سال دوباره فعالیت خود را از سر گرفته است.,1.0
53,"It is rather obviously the tactic of increase in interest rate is not working, as Youguc notices that people are more concerned with the increase of pork price (zh).",افزایش بهره برای آهسته کردن سیر صعودی بازار بورس است ولی مردم بیشتر نگران افزایش قیمت گوشت خوک هستند,1.0
54,"Sean's Russia Blog is posting updates on Anna Politkovskaya's murder investigation - here, here, here (46 comments), and here.",بلاگ روسیه شون در مورد دستگیری تعدادی از ماموران امنیتی روس به اتهام نقش داشتن در ترور آنا پولیتکوسکایا گمانه زنی کرده است (انگلیسی).,1.0
55,Bahrainis marked the birth of the Shia Imam Al Mahdi with a lot of fanfare and blogger Mahmood Al Yousif was out with his new camera to record the celebrations.,بسیاری در بحرین میلاد امام دوازدهم را جشن گرفتند و محمو بلاگر بحرینی از این مراسم فیلم گرفته است,4.0
